cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="36-156-38-108x719xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="53769",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::B",="133.00 B",="938.99us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::B",="2022-10-22 18:39:22.962551708"
="61-164-117-143x4726xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="15608",="2409:871E:8200:4::FFFB",="240E:1C:6200:1::5",="135.00 B",="939.66us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:1::5",="2022-10-22 18:39:21.687433987"
="120-240-94-82x295xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="36460",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFE3",="133.00 B",="847.67us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFE3",="2022-10-22 18:39:06.782363033"
="120-240-94-82x8916xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="46306",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFEB",="134.00 B",="790.76us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFEB",="2022-10-22 18:39:02.251038578"
="120-240-94-82x7869xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="51014",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF60",="134.00 B",="983.82us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF60",="2022-10-22 18:38:57.234461471"
="120-240-94-82x1533xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="33001",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFEB",="134.00 B",="994.52us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFEB",="2022-10-22 18:38:51.605276893"
="111-29-28-161x4313xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="20983",="2409:871E:8200:4::FFFB",="2409:805E:2000:2::13",="134.00 B",="882.67us",="2409:871E:8200:4::FFFB",="未知网段",="2409:805E:2000:2::13",="2022-10-22 18:38:28.918768251"
="36-147-17-79x7191xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="24642",="2409:871E:8200:4::FFFB",="2409:806C:2000:7200::1101",="133.00 B",="877.34us",="2409:871E:8200:4::FFFB",="未知网段",="2409:806C:2000:7200::1101",="2022-10-22 18:38:24.226724326"
="183-216-189-8x2193xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="12534",="2409:871E:8200:4::FFFB",="2409:8038:2000:2091::1",="134.00 B",="1.02ms",="2409:871E:8200:4::FFFB",="未知网段",="2409:8038:2000:2091::1",="2022-10-22 18:38:14.844936502"
="118-213-93-177x7078xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="37756",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="147.00 B",="782.11us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 18:37:50.893092162"
="119-0-66-39x757xmapsystm.icbc.com.cn",="1(A)",="314.00 Bps",="中国",="中国",="60449",="2409:871E:8200:4::FFFB",="240E:4A:4400:2::5",="131.00 B",="900.07us",="2409:871E:8200:4::FFFB",="未知网段",="240E:4A:4400:2::5",="2022-10-22 18:37:49.737904713"
="118-213-93-177x7886xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="54375",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="147.00 B",="898.85us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 18:37:42.405474192"
